,MODULE,COURSE_TITLE,LEVEL,AY_START,WY,MY,WA,MA,average_module_prob,WN,MN,AY
0,COMP3467,Advanced Computer Systems,3,2020,8.0,63.0,31,153,0.4095496894409938,23.0,90.0,71.0
1,COMP3477,Algorithmic Game Theory,3,2020,13.0,85.0,31,153,0.4095496894409938,18.0,68.0,98.0
2,COMP3487,Bioinformatics,3,2020,8.0,61.0,31,153,0.4095496894409938,23.0,92.0,69.0
3,COMP3491,Codes and Cryptography,3,2020,14.0,91.0,31,153,0.4095496894409938,17.0,62.0,105.0
4,COMP3507,Computational Complexity,3,2020,1.0,28.0,31,153,0.4095496894409938,30.0,125.0,29.0
5,COMP3517,Comput Mod in Hum&SocSci,3,2020,17.0,56.0,31,153,0.4095496894409938,14.0,97.0,73.0
6,COMP3527,Computer Vision,3,2020,13.0,77.0,31,153,0.4095496894409938,18.0,76.0,90.0
7,COMP3547,Deep Learn&Reinforcmnt Learn,3,2020,18.0,103.0,31,153,0.4095496894409938,13.0,50.0,121.0
8,COMP3557,Design of Algorthms&DataStruc,3,2020,9.0,52.0,31,153,0.4095496894409938,22.0,101.0,61.0
9,COMP3567,Multimedia & Game Deveopment,3,2020,10.0,77.0,31,153,0.4095496894409938,21.0,76.0,87.0
10,COMP3577,Parallel Scientific Comput I,3,2020,10.0,63.0,31,153,0.4095496894409938,21.0,90.0,73.0
11,COMP3607,Recommender Systems,3,2020,17.0,87.0,31,153,0.4095496894409938,14.0,66.0,104.0
12,COMP3617,Virtual and Augmented Reality,3,2020,7.0,58.0,31,153,0.4095496894409938,24.0,95.0,65.0
13,COMP3621,Public Engagement in CompSci,3,2020,4.0,5.0,31,153,0.4095496894409938,27.0,148.0,9.0
14,COMP3467,Advanced Computer Systems,3,2021,4.0,22.0,12,84,0.30330882352941174,8.0,62.0,26.0
15,COMP3477,Algorithmic Game Theory,3,2021,4.0,33.0,12,84,0.30330882352941174,8.0,51.0,37.0
16,COMP3487,Bioinformatics,3,2021,7.0,33.0,12,84,0.30330882352941174,5.0,51.0,40.0
17,COMP3491,Codes and Cryptography,3,2021,2.0,34.0,12,84,0.30330882352941174,10.0,50.0,36.0
18,COMP3507,Computational Complexity,3,2021,0.0,12.0,12,84,0.30330882352941174,12.0,72.0,12.0
19,COMP3517,Comput Mod in Hum&SocSci,3,2021,4.0,18.0,12,84,0.30330882352941174,8.0,66.0,22.0
20,COMP3527,Computer Vision,3,2021,4.0,25.0,12,84,0.30330882352941174,8.0,59.0,29.0
21,COMP3547,Deep Learn&Reinforcmnt Learn,3,2021,6.0,48.0,12,84,0.30330882352941174,6.0,36.0,54.0
